crit,folder,typ,m,n,N,seed,bos_lb,t0,bnb_lb,oa_lb
E,baseline,correlated,120,10,34,2,-302.6622908167842,284.0,-290.5394,-353.007
E,baseline,correlated,120,10,34,3,-322.2341749700161,522.0,-308.0323,-388.2645
E,baseline,correlated,120,10,34,4,-431.7285307492464,812.0,-421.9031,-490.1044
E,baseline,correlated,120,10,34,5,-355.4104951862008,412.0,-344.5588,-405.6343
E,baseline,correlated,150,12,18,1,-239.653304955547,1681.0,-227.8166,-346.6897
E,baseline,correlated,150,12,18,2,-228.54478411742124,554.0,-215.908,-322.1876
E,baseline,correlated,150,12,18,3,-233.97732728194188,636.0,-220.7413,-346.238
E,baseline,correlated,150,12,18,4,-221.90761944248092,386.0,-208.1412,-327.3893
E,baseline,correlated,150,12,18,5,-238.9866034666989,676.0,-224.3058,-341.0063
E,baseline,correlated,150,12,44,1,-535.206348458339,1687.0,-519.9867,-668.8401
E,baseline,correlated,150,12,44,2,-484.938824124928,435.0,-464.2778,-619.5686
E,baseline,correlated,150,12,44,3,-524.3127367499137,1076.0,-507.4129,-733.0928
E,baseline,correlated,150,12,44,4,-450.03030988308785,296.0,-428.6518,-573.9999
E,baseline,correlated,150,12,44,5,-530.1113050290405,1107.0,-512.8838,-657.4779
E,optimized,independent,50,7,10,1,-0.8605314051246167,1456.0,-0.8431633,-1.112921
E,optimized,independent,50,7,10,2,-0.9452864369302049,845.0,-0.9331822,-1.198036
E,optimized,independent,50,7,10,3,-0.9805261158332088,932.0,-0.9662426,-1.32343
E,optimized,independent,50,7,10,4,-0.8865194713573382,947.0,-0.8732471,-1.151222
E,optimized,independent,50,7,10,5,-0.8617072163932833,9689.0,-0.8478267,-1.09148
E,optimized,independent,50,7,20,1,-1.5831568942576888,1852.0,-1.510123,-1.839997
E,optimized,independent,50,7,20,2,-1.706937850957301,1491.0,-1.638853,-2.047539
E,optimized,independent,50,7,20,3,-1.9051199712343723,1492.0,-1.826287,-2.102524
E,optimized,independent,50,7,20,4,-1.5752263015455679,14207.0,-1.49737,-1.838467
E,optimized,independent,50,7,20,5,-1.6846581141210133,10904.0,-1.618828,-2.149537
E,optimized,independent,80,8,12,1,-1.3506970048277653,10224.0,-1.33072,-1.579143
E,optimized,independent,80,8,12,2,-1.0997596853027474,2019.0,-1.081179,-1.434994
E,optimized,independent,80,8,12,3,-1.1276936592603295,1388.0,-1.1095,-1.371438
E,optimized,independent,80,8,12,4,-1.190977600017898,1608.0,-1.173297,-1.552192
E,optimized,independent,80,8,12,5,-1.155186290333832,624.0,-1.139142,-1.644957
