seed,numberOfExperiments,numberOfParameters,time,N,solution,dual_bound,rel_gap,scaled_solution,termination,feasible,n_nodes,n_cuts_found,n_cuts_applied,n_sdp_iters,tightened
2,120,10,3600.009527,15,0.8941939904267319,1.0770046217801823,0.20444180268557677,-0.8941939908936145,TIME_LIMIT,true,197159,0,0,4328639,false
3,120,10,3600.005223,15,1.057458357297282,1.149120005737523,0.08668109510668165,-1.057458357422974,TIME_LIMIT,true,144043,0,0,3834828,false
4,120,10,3600.007039,15,0.9044285158275472,1.1063403734656505,0.2232480003722074,-0.9044285160691694,TIME_LIMIT,true,186052,0,0,4168099,false
5,120,10,3600.005177,15,1.0978033347873695,1.2121641194368546,0.10417237862702923,-1.0978035518567837,TIME_LIMIT,true,158880,0,0,3942902,false
1,120,10,3600.006048,34,2.9125236071439615,3.066582138879625,0.0528952044741482,-2.9125236071520364,TIME_LIMIT,true,177214,0,0,4003037,false
2,120,10,738.475804,34,2.6635578696341806,2.7967345045753604,0.04999952749645744,-2.6635584834740555,OPTIMAL,true,35380,0,0,768408,false
3,120,10,3531.454765,34,2.808444525316657,2.9488666073429393,0.04999994864076919,-2.808444528179011,OPTIMAL,true,171874,0,0,3892532,false
4,120,10,3600.003782,34,2.6539651456735567,2.8257935427047265,0.0647440292542203,-2.6539651459773665,TIME_LIMIT,true,178781,0,0,3915603,false
5,120,10,996.455706,34,3.0059580640514945,3.133395801109587,0.04239504821512016,-3.005958064148243,OPTIMAL,true,46204,0,0,1033204,false
1,150,12,3600.0,9,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
2,150,12,3600.0,9,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
3,150,12,3600.0,9,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
4,150,12,3600.0,9,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
5,150,12,3600.0,9,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0,
1,150,12,3600.003581,18,1.0257762962822796,1.3591291999529345,0.32497622033071494,-1.0257762962836878,TIME_LIMIT,true,119297,0,0,2650340,false
2,150,12,3600.005995,18,1.081863322655488,1.3390470184014915,0.2377229085784453,-1.0818642312520284,TIME_LIMIT,true,115449,0,0,2608026,false
3,150,12,3600.002741,18,0.9905193366782238,1.3793971076444076,0.39259987823187054,-0.9905198855179799,TIME_LIMIT,true,114916,0,0,2610124,false
4,150,12,3600.005673,18,0.9810018318837189,1.3044274812272174,0.3296891390329586,-0.9810018319247636,TIME_LIMIT,true,114242,0,0,2659206,false
5,150,12,3600.001856,18,1.1602231011808857,1.3943210846214398,0.20176980031020503,-1.160223101199703,TIME_LIMIT,true,183678,0,0,4100227,false
1,150,12,3600.005381,44,3.388205259868079,3.655762458582333,0.0789672343300333,-3.388205270133437,TIME_LIMIT,true,111487,0,0,2597636,false
2,150,12,3600.003629,44,3.315481838265362,3.6205207752655255,0.092004405959816,-3.3154823643093643,TIME_LIMIT,true,109729,0,0,2564456,false
3,150,12,3600.006252,44,3.4843697015283994,3.7167957940654404,0.06670534772331665,-3.484369701574714,TIME_LIMIT,true,110354,0,0,2567876,false
4,150,12,3600.004403,44,3.2803931425985393,3.4784096718537385,0.06036365784448076,-3.2803931454087074,TIME_LIMIT,true,111580,0,0,2570339,false
5,150,12,3600.003782,44,3.516778255965616,3.785154234764313,0.07631302267734463,-3.5167782559716514,TIME_LIMIT,true,108620,0,0,2554446,false
