seed,numberOfExperiments,numberOfParameters,time,N,solution,dual_bound,rel_gap,scaled_solution,termination,feasible,n_nodes,n_cuts_found,n_cuts_applied,n_sdp_iters
2,80,8,41.383123,24,97.35136894744227,98.32468697866348,0.009997990184880533,-97.35136894744272,OPTIMAL,true,2745,249870,19465,0
3,80,8,109.838816,24,101.79658111390151,101.85943476024845,0.0006174435885681622,-101.79658111390165,OPTIMAL,true,10608,602195,84434,0
4,80,8,3.630673,24,140.48288263061272,141.88311599787642,0.009967288121112125,-140.48288263061247,OPTIMAL,true,303,23963,2133,0
5,80,8,83.67709,24,140.9576500687316,140.98552211947646,0.0001977335088324086,-140.95765006873125,OPTIMAL,true,7097,407638,68733,0
1,100,10,3600.000281,7,0.0,36.661945376309184,1.0e20,2.013036686165224e-13,TIME_LIMIT,true,11695,1195677,375184,0
2,100,10,3600.001044,7,0.0,22.56431843914403,1.0e20,1.7190508571578802e-13,TIME_LIMIT,true,40578,3855474,1086970,0
3,100,10,3600.000322,7,0.0,32.772480884810385,1.0e20,1.7221633923670778e-13,TIME_LIMIT,true,13767,1374090,429244,0
4,100,10,3600.000448,7,0.0,41.270554853347406,1.0e20,1.2883540972786115e-13,TIME_LIMIT,true,12112,1237555,394070,0
5,100,10,3600.001141,7,0.0,25.54374054574485,1.0e20,1.8929704724606453e-14,TIME_LIMIT,true,41587,4153927,1267771,0
1,100,10,3600.0,15,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
2,100,10,3600.0,15,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
3,100,10,3600.0,15,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
4,100,10,3600.0,15,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
5,100,10,3600.0,15,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
1,100,10,3600.0,34,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
2,100,10,3600.0,34,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
3,100,10,3600.0,34,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
4,100,10,3600.0,34,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
5,100,10,3600.0,34,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
1,120,10,3600.000575,7,0.0,55.61093382927437,1.0e20,1.320042049980283e-13,TIME_LIMIT,true,15266,3237260,375133,0
2,120,10,3600.000337,7,0.0,41.138887165652875,1.0e20,2.300355016164871e-13,TIME_LIMIT,true,10406,1003572,324995,0
3,120,10,3600.000425,7,0.0,41.341179685837666,1.0e20,2.0409429055867944e-14,TIME_LIMIT,true,14642,1478192,484052,0
4,120,10,3600.000677,7,0.0,46.38544547313007,1.0e20,-2.2287912328246395e-14,TIME_LIMIT,true,22999,2420148,794964,0
5,120,10,3600.00017,7,0.0,45.89230304847189,1.0e20,1.839886036512962e-14,TIME_LIMIT,true,9014,964125,320801,0
1,120,10,3600.0,15,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
2,120,10,3600.0,15,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
3,120,10,3600.0,15,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
4,120,10,3600.0,15,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
5,120,10,3600.0,15,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
